מַחְשֵׁב; כַּמְבְּיוּתֵר كمبيوتر
מֶטֶר, מד מֶטֶר (מכשיר); מִתֵר متر
מָתוּן (לא קיצוני); מֻעְתַדֵל معتدل
קִילֵּף; קַשַّר قَشَّر
חשד; שַכּّ شكّ
נָדִיב; כַּרִים كَرِيم 
מְכוּבָּד, נִכְבָּד; כַּרִים كريم
גָּרַם (הביא לידי); סַבַּّבּ سبّب
גרם, הביא לידי; אַדַّא אִלַא أدّى إلى
נוּדְנִיק; נַקַّאק نقّاق
מוקף; מֻחַאט محاط
נִדְהָם; אִנְצַדַם إنصدم
אֶלַּא (בלהג המצרי); אִנַّמַא إِنَّمَا
תְּבִיעָה (משפטית); דַעְוַא دعوى 
מסילת ברזל, מסילת רכבת; סִכֵּّת חַדִיד سكّة حديد
טִיפֵּש; אַחְמַק أَحْمَق
יותר גרוע, הכי גרוע; אַסְוַא اسوا
המליץ; וַצַّא وصّى
סָדִין; שַרְשַף شَرْشَف
מֶזֶג; מְזַאג׳ مْزَاج
בן אדם, בני אדם; בַּשַר بَشَر
כסף, ממון (בספרותית); מַאל مَال
אסף; לַםّ لَمّ
סיים את לימודיו; תְחַ׳רַّג׳ تْخَرَّج
מושך, מקסים; פַתַّאן فتّان
בַּכְיָין; נַקַّאק نَقَّاق
הפרעה; אִזְעַאג׳ إِزْعَاج
התגרה (ב...); אִסְתַפַזّ إِسْتَفَزّ
מִיּוּן (סידור לפי סוגים); תַצְנִיף تَصْنِيف
התעלם; טַנַّש طَنَّش
צָף (נישא מעל המים); טַאש طَاش
שָׁקַע; עִ׳רֵק غِرِق
בנייה; בִּנַאא بِنَاء
רָעַד; רַגַ׳ף رَجَف
נשימה; תַנַפֹّס تنفّس
חשמלי; כַּהְרַבַּאאִי كَهْرَبَائِي
שטיפה, רחיצה; עַ׳סְל غسل
מערכת הנשימה; גִ׳הַאז אֵ(ל)תַّנַפֹّס جهاز التّنفّس
רָצִיף (מתמשך); מִתְוַאצֵל متواصل
בַּקָּרָה, פִּיקּוּחַ; רַקָאבֶּה رقابة
דָאַג; קִלֵק قِلِق
נעצם (עין); עַ׳מַץ׳ غمض
עָצַם (עין); עַ׳מַّץ׳ غمّض
לגמרי, לתמיד; עַלַא טוּל عَلَى طُول
מתמשך, מתמיד; מֻסְתַמֵרّ مستمرّ
מובנים, משמעויות, כוונות; מַעַאנִי مَعَانِي‎ 
בירור, בדיקה; אִסְתִפְסַאר إستفسار
חיזר (אחרי); עַ׳אזַל غازل
התאים; נַאסַבּ ناسب
סובל, נושא; טַאיֵק طايق
לא סובל אותו; מִש טַאיְקוֹ مش طايقه
ראייה; בַּצַר بصر
יתר, שְאַר; בַּקִיֵﬞה بقيّة
מאחל ל... את אותו הדבר; עֻקְבַּאל عقبال
בקרוב אצלך; עֻקְבַּאל עִנְדַכּ عقبال عندك
נלחץ; אִנְצַ׳עַ׳ט انضغط
ריסים; רְמוּש رموش
מַרְאֶה (משהו שרואים); מַשְהַד مشهد
סְצֵינָה; מַשְהַד مَشْهَد
הסתבך (בניין 5)

טרם נבדק; תורّט تورّط
חושב; מְפַכֵּّר مفكّر
סיר לחץ; טֻנְגַ׳רֵת צַ׳עְ׳ט طنجرة ضغط
מסחרי; תִגַ׳ארִי تجاري
חַשְׁדָן; שַכַּّאכּ شكّاك
גרם ל; חַ׳לַّא خلّى
התפוצץ; פַקַע فقع
התייעצות; מֻשַאוַרַה مشاورة
כיפת ברזל (מערכת הגנה אווירית); אֵלקֻבַּّה אֵלְחַדִידִיֶّה القبّة الحديديّة
מעך, ריסק; הַרַס هرس
אַזְהָרָה; אִנְדַ׳אר إنذار
זְהִירוּת (הימענות מסכנה); חַדַ׳ר حَذَر
כספים, ממונות; אַמְוַאל اموال
נטה (הצידה, העדיף); מַאל مَال
נבנה; אִנְבַּנַא انبنى
התנגשות; אִצְטִדַאם اصطدام
הזהיר, התריע; נַבַּّהְ نبّه
התברר; אִתַّצַ׳ח اتّضح
רוע; סוּאְ سوء
שליט, ריבון, מושל; חַאכֵּם حَاكِم
אזהרה; תַנְבִּיהְ تنبيه
ניקב, חורר; חַ׳זַק خزق
מחורר, מנוקב; מַחְ׳זוּק مخزوق
הִתְפַּטֵּר; אִסְתַקַאל استقال
הִתְפַּטְּרוּת; אִסְתִקַאלֵה استقالة
התמדה, המשכה; אִסְתִמְרַאר إستمرار
הִתְיָישֵּׁב, הִתְנָחֵל (ראה כמולדת); אִסְתַוְטַן استوطن
צַיְתָן; מֻטִיע مُطِيْع
הִתְנַשֵּׁם (נשם בכבדות); לַהַת لَهَت
נגעל; קִרֵף قِرِف
געגוע, ערגה; חַנִין حنين
מֶזֶג אֲוִויר; גַ׳וّ جوّ
בְּחִילָה, גּוֹעַל; קַרַף قرف
כְּרָסִים; כְּרוּש كروش
הִתְגָּרָה; תְחַרְכַּש تحركش
הִתְחִיל (עם בחורה); תְחַרְכַּש تحركش
עָשָׂה, גָּרַם; גַ׳עַל جعل
קִישֵּׁט; זַיַّן زيّن
חוֹמְרִי; מַאדִّי مادّي
יכול (הוא); בִּיקְדַר بيقدر
הִצְלִיחַ; נִגֵ׳ח نِجِح
מָחָר; בֻּכְּרַא بُكْرَا
עכשיו (בלהג הירושלמי); הַלְקֵית هَلْقِيت
מָצַא חֵן בּעֵינֵי; עַגַ׳בּ عجب
צַבָּע (של קירות, מקצוע); דַהַאן دهّان
מאוחר; מִתְאַחֵّ׳ר متأخّر
אבטלה; בַּטַאלֵה بطالة
וואלה, בחיי, באמת; וַאללַّה واللّه
עצה, טיפ; נַצִיחַה نَصِيحَة 
נרגש; מִתְאַתֵّ׳ר متاثّر
קֶרֶשׁ; לוֹח لُوح
החופש הגדול, חופשת הקיץ; עֻטְלֵת אִ(ל)צֵّיף عُطْلِةِ الصِّيف
מסכים; מְוַאפֵק موافق
פגישה, ישיבה; גַ׳לְסֵה جلسة
מתנדב; מֻתַטַוֵّע متطوّع
איגרת, מסר; רִסַאלֵה رِسَالِة
אלרגיה, רגישות; חַסַّאסִיֵّה حسّاسيّة
תקלה, פגם; עַטַל عَطَل
הקשבה, האזנה, שמיעה; אִסתִמַאע استماع
השאיר, עזב; חַ׳לַّא خلّى
קודם, לשעבר (ספרותית); סַאבֵּק سابق
על האש; מַשְוִיֵّה مشويّة
תייר; סַאיֵח سايح
מכללה; כֻּלִّיֵّה كلّيّة
מוצר; מַנְתוּג׳ منتوج
סדר, סידור, אירגון (אירגון של דברים (לא כמו אירגון טרור)); תַרְתִיבּ ترتيب
טבח, שף; טַאהִי طاهي
הוֹצָאוֹת (כסף); מַצַארִיף مََصَارِيف
צמיד; סִוַאר سِوَار
סובלנות; תַסַאמֻח تسامح
עדה; טַאאִפֵה طائفة 
צעד; חֻ׳טְוֵה خطوة
סוגים; אַנְוַאע أنواع
שִינָה; עַ׳יַّר غيّر
איש עסקים; רַגֻ׳ל אַעְמַאל رجل اعمال
צרה, אסון; מְצִיבֵּה مَصِيبِة
הִתְנַהֵג; תְצַרַّף تصرّف
פיקח; רַאקַבּ راقب 
הִתְלוֹנֵן; שַכַּא شكى 
תהלוכה, מצעד, צעדה; מַסִירֵה مَسِيرِة
פתיחה (חגיגית, רשמית); אִפְתִתַאח افتتاح
בית ספר יסודי; מַדְרַסֵה אִבְּתִדַאאִיֶّה مدرسة إبتدائيّة
גָּרוּשׁ; מְטַלֵّק مطلّق
מבקר, מפקח; מֻרַאקֵבּ مراقب
מופתע טרם נבדק; מתפאג׳א مُتفاجِئ
הִתְוַוכֵּחַ; תְגַ׳אדַל تْجَادَل
יוקר המחייה; עַ׳לַאא אִלְמַעִישֵה غَلَاءِ الْمَعِيشِة
הַזְמָנָה טרם נבדק; עַזִימֶה عزيمة
שְׂמַחוֹת; אַפְרַאח أفراح
הַכִּנֶּרֶת; בַּחִירַת טַבַּרִיַא بحيرة طبريا
בריכת שחייה; מַסְבַּח مسبح
תהיה בריא; אַלְלַﬞה יִשְפִיכּ الله يشفيك
מפואר; פַחְ׳ם فخم
הסכם; אִתִﬞפַאקִיֵﬞה اتّفاقيّة
תיירות; סִיַאחַה سياحة 
תושבים, תושבי (מקום מסויים); סֻכַּﬞאן سكّان
עֵצוֹת; נַצַאיֵח, נַצַאאֵח نصايح, نصائح
מוּדָעוּת; וַעִי وعي
מדרגות טרם נבדק; דְרַאג׳ دراج
מַדְרֵגָה; דַרַג׳ درج
צִיּוּר (תחום אמנותי); רַסֵם رسم
פנאי, זמן פנוי; וַקְת אֵלְפַרַאע׳ وقت الفراغ
כּאפיה (כיסוי ראש מסורתי ערבי); כּוּפִיֵّה كوفيّة
נגמר, הסתיים; אִנְתַהַא إِنْتَهَى
מדים; זִיّ زيّ
רווקה; עַזַّאבִּיֵّה عزّابيّة
תִסְכּוּל; אִחְבַּאט إِحبَاط
ילדות; טֻפוּלֵה طفولة
ילדותי; טֻפוּלִי طفولي
צחוק; צַ׳חְכֵּה ضحكة
נהרג, נקטל; אִנְקַתַל إنقتل
עמותה; גַ׳מְעִיֵّה جمعيّة
אצטדיון, מגרש; מַלְעַבּ مَلْعَب
בינינו; בֵּינַאתְנַא بِينَاتْنَا
ער; צַאחִי صاحي
המוני; גַ׳מַאעִי جماعي
אוזניות; סַמַّאעַאת سمّاعات
טעה; עִ׳לֵט غلط
עֲבוֹדָה (להגשה בלימודים); וַטִ׳יפֵה وَظِيفِة 
ספסל; בַּנְכּ بنك
סְוֵודֶר; גַ׳רְזֵה جرزة
עלה בדעתי, חשבתי לעצמי; חַ׳טַר פִי בַּאלִי خطر في بالي
בריאות; עַאפְיֵה عافية
אשראי; רַצִיד رصيد
נֶזֶק; צַ׳רַר ضَرَر 
מצחיק; מֻצ׳חֶכּ مضحك
הרע במיעוטו; אַחַ׳ףّ אֵ(ל)צַّ׳רַרֵין أخف الضررين
חגורה; חְזַאם حزام
מתסכל; מֻחְבֵּט مُحْبِط
חָזִיָיה; סֻתְיַאן ستيان
מְזַעְזֵעַ, נוֹרָא; פַטִ׳יע فظيع
מַדְהִים, נוֹרָא; רַהִיבּ رهيب
זוועה; פַטַ׳אעַה  فظاعة
בינוני; מִתְוַסֵّט متوسّط
סכנות; אַחְ׳טַאר أخطار
לַחַשׁ (דיבר בקול שקט); וַשְוַש وَشْوَش 
קוֹמוֹת; טָוָאבֶּק طوابق
קבוצת סיכון; דַאאִרַת אִלְחַ׳טַר دائرة الخَطَر
חושב את עצמו; שַאיֵף חַאלוֹ شايف حالو
פרח מזכרוני; רַאח מִן בַּאלִי راح من بالي
לאט לאט, קח את הזמן; עַלַא מַהְלַכּ على مهلك
איך אתה יודע?; שוּ עַרַّפַכּ شو عرّفك
כַּמָּה (לספיר); כַּם  كَم
איך היה?; כִּיף כַּאן? كيف كان؟
איפה היית?; וֵין כֻּנְת? وين كنت؟
מה שלומכם?; כִּיף חַאלְכּׂם? كيف حالكم
מה המצב?; כִּיף אלְחַאל? كيف الحال
לאן?; לַוֵין? لوين
אני יודע?, מאיפה לי? (אין לי מושג); אַנַא עַארֵף? أنا عارف
אֵיזֶה; אַנוּ انو
מַה שְׁלוֹמֵךְ?; כִּיף חַאלֵכּ? كيف حالك
מַה שְּׁלוֹמֵךְ?; כִּיפֵכּ ? كيفك ؟
האם (?); הַל هل
איך אתה מרגיש ? (מילולית: איך הבריאות שלך ?); כִּיף צַחְّתַכּ كيف صحّتك
נֶגֶב (אזור); אֵ(ל)נַّקַבּ إِلنَّقَب
במקרה; בִּ(אל)צֻّדְפֵה بالصدفة
נִפְגַע מ, כָּעַס על; זִעֵל מִן  زعل من
מָנַע, אָסַר (ממישהו לעשות משהו); מַנַע منع
מטפחת, ממחטה; מָחְרַמֵה محرمة
הצהרה; בַּיַאן بيان
הִרְשָה; סַמַח سمح
לְךָ, בשבילךָ, עבורךָ; אִלַכּ إلك
מֵלוֹן; שֻמַّאם شُمَّام
דּוּבְדְּבָן; כַּרַז كَرَز
אבחוּן, אבחנה; תַשְחִ׳יץ تشخيص
תאריכים; תַוַארִיח׳ تواريخ
סלע; צַחְ׳רַה صخرة 
פיגוע; עַמַלִיֵّה عمليّة
מַדְבֵּקָה; טֻבְּעַה طبعة
מִילוֹן; קַאמוּס قَامُوس
צָעָר; זַעַל زعل
תַּנּוּר (אפייה); פֻרְן فُرْن 
תנוחה; טַרִיקַה طريقة
אַגָּדָה; אֻסְטוּרַה أُسْطُورَة
נמנע; אִמְתַנַע إمتنع
נקיפות מצפון; וַחְ׳זֵת צַ׳מִיר وخزة ضمير
מוּל; קְבַּאל قبال
שָׁטִיחַ; סֻגַّ׳אדֵה سُجَّادِة 
למרבה הצער; לִלְאַסַף للاسف
מסריח; זִנֵח׳ زنخ
תאר; וַצַף وصف
תאור; וַצֵף وصف
הִשְפִיעַ; אַתַّ׳ר اثّر
גופה; גֻ׳תֵّ׳ה جُثِّة
ענן; עֵ׳ימֵה غيمة
מצד; מִן גִ׳הַה من جهة
אני מתכוון, הכוונה שלי; קַצְדִי قَصْدِي
תֵּירוּץ; חִגֵّ׳ה حِجِّة
טופס; אִסְתִמַארַה استمارة
שערורייה, פדיחה; פַצִ׳יחַה فضيحة 
מאמין (נכון/לא נכון); מְצַדֵّק مصدّق
אֵיכוּת; גַ׳וְדֵה جودة
שמיכת פוך; לְחַאף זַעַ׳ד لحاف زغد
שלולית; בִּרְכֵּה بركة 
שלוליות; בִּרַכּ برك
פזיז; מֻתַסַרֵّע متسرّع
בחינה, היבט; נַאחְיֵה ناحية
בחינות, היבטים; נַוַאחִי نواحي
מבול; טוּפַאן طُوفَان
סְתִירָה; תַנַאקׂץ׳ تَنَاقُض
עקץ; קַרַץ قرص
נעקץ; אִנְקַרַץ إنقرص
דודים (מצד האב); עְמַאם عمام
דודים (מצד האם); חְ׳וַאל خوال
מעצבן, נודניק; זִנֵח׳ زنخ
אִפְשֵר; סַמַח سمح
פג (נולד לפני הזמן); חַ׳דִיג׳ خديج
נענע; נַעְנַאע نعناع
עשה בושות (״פידח״); פַצַ׳ח فضح
מאפרה; מָנְפָצָ׳ה منفضة
ברירה; חִ׳יַאר خيار
הַשְׁפָּעָה; תַאְתִ׳יר تأثير
טַיָּיס; טַיַّאר طيّار
תאר (לעצמו); תְצַוַّר تصوّر
פצפון; צְעַ׳נّוּן صغنّون
זֶרֶם; מַגְ׳רַא مَجْرَا
רִיגֵּש; אַתַّ׳ר أَثَّر
ממחטה, מגבון; פוּטַה فُوطَة
מסביבו, סביבו; מִן חַוְלוֹ مِن حَوْلُه
סְטִירָה; לַטְמֵה لَطْمِة
אגדות; אַסַאטִיר أَسَاطِير
סאטירה; הִגַ׳אא هِجَاء
גָּרוּס (מפורר לחתיכות קטנות); מַגְ׳רוּש مَجْرُوش 
ישר ולעניין (מילולית - בלי ללכת סחור סחור); בִּדוּן לַףّ וּדַוַרַאן بدون لفّ ودوران
מֶתֶג (חשמלי); מֻפְתַאח مُفْتَاح 
אטם, סתם; סַדّ سَدّ
שיטפון, הצפה; פַיַצַ׳אן فَيَضَان
חִיבֵּק; חַצַ׳ן حضن
הֶלֶם; צָדמֶה صدمة
פולי קפה; בֻּןّ بنّ
עַגְבָנִיּוֹת שֶׁרִי (זן קטן של עגבנייה); בַּנְדוֹרַה כַּרַזִיֵّה بَنْدُورَة كَرَزِيّة
מותג; מַארְכַּה ماركة
פלוס, ועוד (בחשבון); זַאאֵד زائد
טיפטוף; תַנְקִיט تنقيط
טיפטף; נַקַﬞט نقّط
מכה (נפשית או גופנית); צָדמֶה صدمة
אופן השימוש; טַרִיקַת אֵלְאִסְתִעְמַאל طريقة الاستعمال
ביקש להבין; אִסְתַפְהַם استفهم
נָגַע קַלּוֹת; דַקַר دقر
הֶחֱזִיק מַעֲמָד; צַ׳איַן ضَايَن
פָּגַע (העליב, לא פיזית); מַסّ مسّ
כָּנִרְאֵה; תַרַא ترا
בָּדַק; פַחַץ فحص
העניש; עַאקַבּ عاقب
הסכמה; מְוַאפַקַה موافقة 
צלוי; מַשְוִי مَشْوِي
גָּזַר; קַץّ قصّ
אותו; אִיַّאה إيّاه
הבא, הקרוב; אִלְגַ׳אי الجاي
עמודים; עֻמְדַאן عمدان
מלפפון; חְ׳יַארַה خيارة
מלפפונים; חְ׳יַאר خيار
הפתיע; פַאגַ׳אְ فاجأ
תשומת לב, עניין; אִהְתִמַאם اهتمام
לשכה; דִיוַאן ديوان
דחייה, עיכוב; תַאְגִ׳יל تَأْجِيل
מגזר; וַסַט وسط
הרגיע; הַדַّא هدّى
הִמְצִיא; אִחְ׳תַרַע إِخْتَرَع
בָּא, הגיע (בעבר); אַגַ׳א أَجَى
מִסְפָּרַיִים; מְקַץّ مْقَصّ
תועלת; פַאיְדֵה فايدة
דִּיכָּאוֹן; אִכְּתִאַאב إِكْتِئَاب
הַגְזָמָה; מֻבַּאלַעַ׳ה مُبَالَغَة
מתלבט, מהסס; מִתְרַדֵّד متردّد
עֵז; מִעְזֵה معزة
טיפש; עַ׳בִּי غبي
